year,relative_yield,density
2012,0.5724310776942355,0.577936051217015
2012,0.5796992481203007,0.588436463735062
2012,0.5869674185463659,0.5989485012980289
2012,0.594235588972431,0.6094655428634829
2012,0.6015037593984962,0.6199808174937385
2012,0.6087719298245613,0.6304874101202944
2012,0.6160401002506265,0.6409782677089787
2012,0.6233082706766917,0.6514462058227454
2012,0.6305764411027568,0.6618839155779279
2012,0.637844611528822,0.6722839709885909
2012,0.6451127819548872,0.6826388366924406
2012,0.6523809523809523,0.6929408760505776
2012,0.6596491228070175,0.703182359612183
2012,0.6669172932330827,0.713355473934019
2012,0.6741854636591478,0.7234523307434635
2012,0.681453634085213,0.7334649764325805
2012,0.6887218045112782,0.7433854018695811
2012,0.6959899749373433,0.7532055525128535
2012,0.7032581453634085,0.7629173388116117
2012,0.7105263157894736,0.7725126468760957
2012,0.7177944862155388,0.7819833493991695
2012,0.725062656641604,0.7913213168101166
2012,0.732330827067669,0.8005184286404126
2012,0.7395989974937343,0.8095665850802908
2012,0.7468671679197995,0.8184577187039852
2012,0.7541353383458645,0.8271838063406675
2012,0.7614035087719297,0.8357368810672727
2012,0.768671679197995,0.8441090442986471
2012,0.77593984962406,0.8522924779497595
2012,0.7832080200501252,0.8602794566440782
2012,0.7904761904761904,0.8680623599416618
2012,0.7977443609022555,0.8756336845600159
2012,0.8050125313283207,0.8829860565603582
2012,0.8122807017543859,0.8901122434715967
2012,0.819548872180451,0.8970051663240703
2012,0.8268170426065162,0.9036579115649287
2012,0.8340852130325813,0.910063742826939
2012,0.8413533834586465,0.9162161125225088
2012,0.8486215538847117,0.9221086732347878
2012,0.8558897243107768,0.9277352888778967
2012,0.863157894736842,0.9330900455985838
2012,0.8704260651629072,0.9381672623919565
2012,0.8776942355889723,0.9429615014043824
2012,0.8849624060150375,0.9474675778971675
2012,0.8922305764411027,0.9516805698452393
2012,0.8994987468671678,0.9555958271457546
2012,0.906766917293233,0.9592089804123388
2012,0.9140350877192982,0.9625159493315193
2012,0.9213032581453633,0.9655129505588654
2012,0.9285714285714285,0.9681965051333684
2012,0.9358395989974937,0.9705634453896813
2012,0.9431077694235588,0.9726109213490163
2012,0.950375939849624,0.9743364065707241
2012,0.9576441102756892,0.9757377034478761
2012,0.9649122807017543,0.9768129479315373
2012,0.9721804511278195,0.9775606136698147
2012,0.9794486215538846,0.9779795155492494
2012,0.9867167919799498,0.9780688126276129
2012,0.993984962406015,0.977828010448729
2012,1.0012531328320802,0.9772569627315298
